,TIME,birga_x,birga_y,rates_x,rates_y,valin_x,valin_y,valout_y,volume_x,volume_y,start,step,back,profit,perc
406,12:09:02,live,live,216.39999998,200.0,USDT,ETH,USDT,0.02938973,0.44904633,100.0,0.4612769104763097,92.08962077786178,-7.910379222138218,-7.910379222138218
407,12:09:02,live,live,216.39999998,197.00000001,USDT,ETH,USDT,0.02938973,0.49971654,100.0,0.4612769104763097,90.70827647079834,-9.291723529201661,-9.291723529201661
408,12:09:02,live,live,216.39999999,200.0,USDT,ETH,USDT,0.03718973,0.09983,100.0,0.4612769104549937,92.08962077360624,-7.910379226393758,-7.910379226393757
409,12:09:02,live,live,216.39999999,200.0,USDT,ETH,USDT,0.03718973,0.44904633,100.0,0.4612769104549937,92.08962077360624,-7.910379226393758,-7.910379226393757
410,12:09:02,live,live,216.39999999,197.00000001,USDT,ETH,USDT,0.03718973,0.49971654,100.0,0.4612769104549937,90.70827646660663,-9.291723533393366,-9.291723533393366
411,12:09:02,live,live,216.989995,200.0,USDT,ETH,USDT,0.04568115,0.09983,100.0,0.4600227002072048,91.83922942846972,-8.160770571530279,-8.160770571530279
412,12:09:02,live,live,216.989995,200.0,USDT,ETH,USDT,0.04568115,0.44904633,100.0,0.4600227002072048,91.83922942846972,-8.160770571530279,-8.160770571530279
413,12:09:02,live,live,216.989995,197.00000001,USDT,ETH,USDT,0.04568115,0.49971654,100.0,0.4600227002072048,90.46164099163462,-9.538359008365376,-9.538359008365376
423,12:09:02,live,live,0.20297,0.20025,USD,XRP,USD,23.08024676,29.96254681,100.0,491.7984106904856,98.30568151404447,-1.6943184859555345,-1.6943184859555345
424,12:09:02,live,live,0.20297,0.2,USD,XRP,USD,23.08024676,623.17476481,100.0,491.7984106904856,98.1829528230157,-1.8170471769843033,-1.8170471769843033
425,12:09:02,live,live,0.20297,0.19901,USD,XRP,USD,23.08024676,723.17476481,100.0,491.7984106904856,97.69694720654175,-2.3030527934582494,-2.3030527934582494
426,12:09:02,live,live,0.203,0.20025,USD,XRP,USD,46.16049352,29.96254681,100.0,491.72573112240326,98.29115358081579,-1.708846419184212,-1.7088464191842119
427,12:09:02,live,live,0.203,0.2,USD,XRP,USD,46.16049352,623.17476481,100.0,491.72573112240326,98.168443027032,-1.8315569729680021,-1.8315569729680021
428,12:09:02,live,live,0.203,0.19901,USD,XRP,USD,46.16049352,723.17476481,100.0,491.72573112240326,97.68250923404818,-2.317490765951817,-2.317490765951817
429,12:09:02,live,live,0.204,0.20025,USD,XRP,USD,51.16049352,29.96254681,100.0,489.3153108718033,97.80933420051768,-2.1906657994823178,-2.1906657994823178
430,12:09:02,live,live,0.204,0.2,USD,XRP,USD,51.16049352,623.17476481,100.0,489.3153108718033,97.68722516905638,-2.3127748309436242,-2.3127748309436242
431,12:09:02,live,live,0.204,0.19901,USD,XRP,USD,51.16049352,723.17476481,100.0,489.3153108718033,97.20367340446953,-2.7963265955304735,-2.7963265955304735
441,12:09:02,live,live,1.01091,1.00026,USD,USDT,USD,5.0,8.69229979,100.0,98.74303688542786,98.59124583251953,-1.408754167480467,-1.408754167480467
